,Bi-gram,Freq
0,loan modification,97191
1,modification collection,97191
2,collection foreclosure,97191
3,credit report,78286
4,incorrect information,66718
5,information credit,66718
6,loan servicing,60375
7,servicing payment,60375
8,payment escrow,60375
9,escrow account,60375
10,cont attempt,42285
11,attempt collect,42285
12,collect debt,42285
13,debt owed,42285
14,opening closing,27508
15,account opening,26661
16,closing management,26661
17,communication tactic,18293
18,disclosure verification,18292
19,verification debt,18292
